Topics,Topic Text,distributions,Unique Words,Text
"[(0, 0.011018997), (1, 0.59237504), (2, 0.011018331), (3, 0.011007492), (4, 0.3525355), (5, 0.011025862), (6, 0.011018802)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(0, 0.011018997), (1, 0.5924961), (2, 0.011018334), (3, 0.011007505), (4, 0.35241532), (5, 0.011025215), (6, 0.0110185575)]",,"Beautiful scenery, very peaceful trip, knowledgeable, capable and engaging tour guide and very good value for money."
"[(0, 0.6434677), (1, 0.33906528)]","(0, '0.010*""well"" + 0.009*""energy"" + 0.008*""us"" + 0.007*""staff"" + 0.007*""time""')","[(0, 0.6434622), (1, 0.3390707)]",,"Booked a 50 minute cruise for us last week when visiting Oxford. We were lucky with the weather but the boat was really comfy, tables and chairs with extra blankets!
Great tour guide, really fun and interesting, able to answer all questions and also let us enjoy the peace of the river. Highly recommended.
Well organized, great communication before the trip as well."
"[(1, 0.98132974)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.98132974)]",,"We went for my wife's birthday and really enjoyed ourselves. A very relaxing time on the river listening to interesting stories from the skipper, watching the world go by and nibbling on the cream tea. Would highly recommend it. You can even fit in a trip to Bister Village beforehand if you want as there's enough time before disembarking at 12:30pm. We paid £7 to stay in Westgate car park which is only 5-10 mins away. So that may suit you better than the park and ride."
"[(5, 0.96422577)]","(5, '0.009*""good"" + 0.008*""great"" + 0.007*""cruise"" + 0.007*""staff"" + 0.007*""mosque""')","[(5, 0.9642244)]",,"Modern clean boat. Sensible covid measures in place. The tour was very interesting, cracking scenery all brought to life with fascinating info from the guide Sean, who was very good and pitched the info for kids and adults with humour."
"[(5, 0.9682024)]","(5, '0.009*""good"" + 0.008*""great"" + 0.007*""cruise"" + 0.007*""staff"" + 0.007*""mosque""')","[(5, 0.9682006)]",,"I loved this cruise. Each member of staff was friendly, welcoming and polite. Boarding was efficient and provided information about both the upper and lower decks. The guides onboard made the trip a memorable experience with their sense of humour and knowledge. For me, this was the highlight of Fort Augustus."
"[(1, 0.9669749)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.9669749)]",,The tour guide John delivered his commentary in a funny way and there was a snack bar where you can a coffee or a bag of chips. You might get soaked in water on the top deck so please beware. Overall it was a pleasant one hour cruise.
"[(6, 0.97227937)]","(6, '0.020*""great"" + 0.012*""energy"" + 0.010*""friendly"" + 0.008*""really"" + 0.007*""fantastic""')","[(6, 0.9722792)]",,"Was not kept waiting for an age for an operative to answer phone. Reply to questions clear and concise.  All information necessary was given at the time of booking.  Operatives went out of their way to book exactly the holiday and flights I requested
Would book with River Cruising again and would recommend them to friends."
"[(0, 0.97740984)]","(0, '0.010*""well"" + 0.009*""energy"" + 0.008*""us"" + 0.007*""staff"" + 0.007*""time""')","[(0, 0.97740984)]",,"We completed the form and contact was made within a few hours. All the details were made very clear and we were able to confirm our desire to book the cruise. The very next day we received the information with the details. Although we are unable to book our flight, they have assured us that we will have a choice of two airport and will be in touch when the flights are released.
We feel very confident that we will enjoy this cruise and that all the arrangements are to our liking."
"[(0, 0.011926607), (1, 0.9284067), (2, 0.011937375), (3, 0.011950653), (4, 0.011919308), (5, 0.011927624), (6, 0.011931721)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(0, 0.011926608), (1, 0.9284067), (2, 0.011937374), (3, 0.011950681), (4, 0.011919309), (5, 0.011927624), (6, 0.011931722)]",,"Gillian from River cruising was very professional, knowledgable , helpful and pleasant through out our booking a river cruise. Recommend."
"[(0, 0.011006944), (1, 0.01106642), (2, 0.9338331), (3, 0.011030253), (4, 0.011035975), (5, 0.011023096), (6, 0.011004227)]","(2, '0.010*""great"" + 0.009*""good"" + 0.007*""staff"" + 0.007*""time"" + 0.006*""hours""')","[(0, 0.011006942), (1, 0.011063562), (2, 0.933836), (3, 0.011030247), (4, 0.01103597), (5, 0.011023091), (6, 0.011004225)]",,The food was good the staff polite and attentive and the commentary informative   a good way to spend a couple of hours
