PlaceID,Rating,Text,Timestamp,Topics,Topic Text,distributions
ChIJP8CAX7ixe0gRf_nYSsWAztM,5,"Amazing authentic feeling restaurant setting, lovely menus with so many good options, food was really delicious, great service only thing that could make it better is an offering of grated parmesan/fresh black pepper, will definitely be back to try carbonara",2022-09-17T15:58:35Z,"(0, 0.985787)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.98578995), (1, 0.014209999)]"
ChIJP8CAX7ixe0gRf_nYSsWAztM,5,"The food was amazing with a good choice of pasta dishes, their homemade pasta makes the difference along with the unique flavours offered in each dish. If you like pasta, you can not miss this place. Eat here!",2023-10-11T17:55:18Z,"(0, 0.9850459)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.98504674), (1, 0.014953276)]"
ChIJP8CAX7ixe0gRf_nYSsWAztM,5,"There’s a reason we weren’t able to just walk in and get a table on a Friday night and all the recommendations I’d heard were deserved - for fresh delicious pasta I’ve not been anywhere better! The interior is quite basic but that also gives an authentic vibe, and all the staff were very welcoming from arrival and throughout. There’s a number of blackboards throughout listing special dishes and the waitress was happy to offer recommendations and customise dishes to order too, after checking with the kitchen.

The lamb skewer starter was wonderful, presented just as well as the king prawn bruschetta. The side of bread and olives was equally as good with sizeable olives and tasty oil. My main of layered pasta (think lasagne) came with a huge portion size, lots of filling and had the nicest pasta I’ve ever tasted. Everyone else commented their their pasta was equally impressive and it shows that having it freshly made on the premises makes all the difference.

Given the size of the main dishes there was no need for desert but it’s a restaurant I will be sure to return to. The name and exterior appearance don’t do the incredible food justice and it’s rounded off by the brilliant staff - I can’t recommend it enough.",2022-05-16T17:58:41Z,"(0, 0.99725336)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.99725306)]"
ChIJD94HHPele0gR6gNwG0WJ5G4,5,We came across this little gem by accident. It is in a lovely little area next to the river. We popped in for a quick drink and we were blown away by such a warm welcome especially from Rosanna. So much so that we decided to come back later that day for dinner and we were not disappointed. The bruschetta was gorgeous and fresh followed by the divine tagliatelle diavola and the pizza Capri which was the best pizza that we have had in years! Again amazing hospitality from Rosanna and the rest of the team and we will definitely be back very soon! Thank you guys 😍,2023-03-26T17:59:55Z,"(0, 0.99475765)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.99475825)]"
ChIJ6V_QDve2e0gR_4_6imCkaJY,5,"Went there with friends, we all enjoyed are pasta  meal.. Nicely presented and hot. The garlic and caramelised onion bread very nice
Bella Italia Ashton are offering h the £5 pasta meal offer thats not a limited choice.
Brilliant.
The staff were efficient,  friendly and welcoming.  Thank you a lovely start to our evening out.",2023-01-14T09:00:38Z,"(0, 0.6209567)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.6209545), (1, 0.37904546)]"
ChIJ6V_QDve2e0gR_4_6imCkaJY,5,"Came in for food and was served by Abbie and kasha they were both amazing and nothing was too much! The food was delicious and well worth the money! Had the set menu and had doh bites and a carbonara which was delicious, would definitely be back with my family 5⭐️",2020-10-02T16:51:41Z,"(0, 0.988635)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9886323), (1, 0.01136768)]"
ChIJ6V_QDve2e0gR_4_6imCkaJY,5,"Had a really good recent experience at Bella Italia Ashton Moss. Was seated very quickly and greeted by Abbie who made our visit even better! She took the time to speak with us and even told us about the mushrooms in the lasagne (something my fiancé appreciated knowing!)
The food was hot, tasty and a good portion. Will definitely be visiting again.
Thanks again Abbie!",2021-09-11T16:48:04Z,"(0, 0.9889249)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9889227), (1, 0.011077317)]"
ChIJkXC1KYG3e0gRrcKkqwsqjdg,5,"I am constantly impressed by the standard and quality of the food at Stocco. This restaurant really is a hidden Italian gem in the most unlikely of places! The pasta is cooked to perfection, firm with a subtle bite, the sauces are thick and rich, the meats are fresh and cooked to melt in your mouth, the fish comes off the bone and have an amazing texture and taste, and the pizzas are the best I have ever tasted, and I have travelled Italy. Added to the amazing food, beers, and wines, the staff are extremely polite and helpful when ordering. All come from Italy and all are eager to recommend dishes and wines suited to your tastes. If there is one Italian restaurant in the greater Manchester that I would recommend, Stocco is it. Seriously, you will not be disappointed!",2022-11-06T13:14:54Z,"(0, 0.99586755)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.99586743)]"
ChIJkXC1KYG3e0gRrcKkqwsqjdg,5,"Very tasty food, authentic Italian, excellently presented, great value for money, warm friendly staff, great ambience. A must visit.",2024-04-06T21:51:14Z,"(1, 0.9610004)","(1, '0.016*""and"" + 0.009*""the"" + 0.008*""a"" + 0.007*""of"" + 0.007*""very""')","[(0, 0.03899277), (1, 0.96100724)]"
ChIJkXC1KYG3e0gRrcKkqwsqjdg,5,Brilliant food and service from the staff... Probably some of the best Italian food I've ever had... Very very pleasantly surprised.... Definitely going again...,2021-07-18T13:24:15Z,"(0, 0.9702482)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9702446), (1, 0.029755363)]"
ChIJW86ZOl6ye0gR1NCTHzillls,5,"It was a lovely mid week day off. we fancied something different than our go to places.

From the moment you pull the door open there is an outdoor themed seating which looked lovely, delicate and warm. For some reason that warmth reminded me of the time you’d be outside on a cold raining day, you’d run home and as soon as you’re home, it’s warm, comforting and a sense of belonging - like the feeling of your loved ones waiting for you to be home.

Then you into the restaurant and greeted with a lovely smile. It’s rather overwhelming in a good way. My wife loved the vibe and energy whilst it made me love people. It sounds crazy but we as humans have become to distant in human interaction at times, these small little things gives us all little moments of hope.

pasta was soft delicate and the flavours were like a firework display full of vibrant joy.

The pan grilled salmon was lovely and the green complimented the fillet like how the stars illuminate the sky at night. The potato's should have been a little more soft though.

The pizza was almost perfect. I couldn’t help but compare it to the greatest pizza I have ever had which in the Middle East.

The staff were also very friendly and very engaging but not too intrusive.

Thank you.",2023-02-22T22:20:23Z,"(0, 0.9974837)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.99748427)]"
ChIJW86ZOl6ye0gR1NCTHzillls,5,"Been here with my husband a few times. I tried their  scallops dish for starter and Carbonara with additional chicken this time as I was craving for some pasta and my husband ordered a pizza. Love how creamy the sauce was especially with the added parmesan on top and how Al dente the pasta was, the scallops was fresh and tasty too. My husband thought the pizza was really good as well.",2024-04-24T20:32:36Z,"(0, 0.99219984)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.99219984)]"
ChIJU7fnFOiye0gRU_8EcZ8VJPY,5,Lovely Italian..  great food.. great service..  2 floors plus small outdoor space..,2023-04-29T01:21:59Z,"(1, 0.9525063)","(1, '0.016*""and"" + 0.009*""the"" + 0.008*""a"" + 0.007*""of"" + 0.007*""very""')","[(0, 0.047493935), (1, 0.95250607)]"
ChIJU7fnFOiye0gRU_8EcZ8VJPY,5,Popped in on the off chance we could get a table and luckily we did and what an amazing night we’ve had the service was amazing the food was out of this world if you want real good Italian food this is definitely the place to come in Stockport best Italian I’ve eaten for a long time. We liked it that much we booked a table for another night.,2022-05-13T21:00:37Z,"(0, 0.9919051)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9919031)]"
ChIJQ4jqG0mxe0gRs0gTfkuoY3g,5,Very good expertise and a pleasure to deal with,2020-11-05T18:26:15Z,"(0, 0.9439393)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9439238), (1, 0.056076165)]"
ChIJLTYmx9dze0gRphioJafPA0U,5,"I have had an excellent service from South Rings Energy ltd from arranging the installation date to completing. The engineer (James) who Installed our boiler was very polite and helpful, he gave time to answer questions and provide instructions on how to use the boiler. When the work was completed he left the property clean and tidy. Once the boiler was installed the electric work followed, and that was also done in a timely and professional manner. I want to also Thank Stephanie from the Customer Service team, she was very polite, professional and helpful, and the directors were also very helpful as well. I would highly recommend this company :)",2023-08-09T19:46:39Z,"(0, 0.99463314)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9946342)]"
ChIJLTYmx9dze0gRphioJafPA0U,5,Can not thank this company enough for there hard work and professionalism. Everybody who was involved from start to finish. Job well done could not recommend this company enough.,2023-02-22T17:08:35Z,"(0, 0.97986823)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9798709), (1, 0.020129098)]"
ChIJLTYmx9dze0gRphioJafPA0U,5,"I have had one of the best service given to me through Stephanie she is highly professional kind and goes above and beyond to help and actually cares about the people she deals with. Stephanie has helped me and my little children tremendously in such difficult times. I can not thank Stephanie enough for her help. She is all of the above 100% good quality in service, holds extremely good value, very professional at all times, Stephanie always responds to all my calls and messages instantly and delivers her appointments of any sort always on time.
There is no doubt of the service you will recieve from Stephanie is the best.
Thank You for all of your help much appreciated.",2023-06-14T11:31:14Z,"(0, 0.9951768)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9951743)]"
ChIJX-MHEFsNe0gRXCoC5d1Mo2o,5,"I recently had the pleasure of having solar panels installed on my roof by Eco Renewables Group Limited, and despite encountering some minor hiccups, I must say that the overall experience was excellent, thanks to the efforts of Chris, the Director.

The installation process began with Mark, who is regarded as their top electrician. While I appreciate the hard work and dedication, I noticed that his work was rushed and some details were left incomplete. I raised this concern with Chris, and to my surprise, he took immediate action to rectify the situation. He assured me that he would get it sorted to high standards that Eco Renewables Group Limited are well known for.

Although it did take a little time to get the skirting sorted, I was more than impressed with the level of commitment Chris and Marcus displayed. They truly went above and beyond to turn my solar roof into something akin to a sleek Tesla roof. Their attention to detail and dedication to achieving a flawless finish were evident throughout the process. I couldn't have been happier with the final result. The solar panels looked seamless and aesthetically pleasing, enhancing the overall appearance of my home.

Moreover, I appreciate how Eco Renewables Group Limited values customer satisfaction. Chris's willingness to listen to my concerns and take swift action demonstrated that their commitment to providing top-notch service is more than just a marketing claim.

In conclusion, I highly recommend Eco Renewables Group Limited for solar panel installation, thanks to the outstanding efforts of Chris amd Marcus & team (roofers). While the initial work may have faced some challenges, their dedication, attention to detail, and commitment to excellence turned the experience into a resounding success. My sleek solar roof is a testament to their expertise and customer-focused approach.",2023-07-21T11:48:42Z,"(0, 0.9980787)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9980788)]"
ChIJX-MHEFsNe0gRXCoC5d1Mo2o,5,"After much research and phone calls we where fortunate enough to make a call with Sales Consultant Ryan-. Ryan has a great skill in answering any questions in plain simple language. We placed an order for panels, inverter and storage batteries. Within 7 days the panels where instaled and the system was live. Fantastic product and service from the Electricians and the panel installers, and the sales and support team. Any questions they are always happy to help.Highly Recommended",2023-07-14T12:42:57Z,"(0, 0.992315)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.99231714)]"
ChIJX-MHEFsNe0gRXCoC5d1Mo2o,5,"Very pleased with the Solar panels, battery and system installed by Eco Renewables. Had it for over a year now and it has performed even better than the estimate at installation. Saved significant money on electricity and the payback for the system is only 7 years.",2023-12-13T13:28:30Z,"(0, 0.98825496)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.98825496), (1, 0.011745051)]"
ChIJoygihrpdeUgRSugGzIQviO4,4,"Thanks John and his team to install 6 Solar panels and a 5.8 kwh battery with a fair price. The installation has been smooth and left clean. My energy usage has already dropped 1/3 in summer time, when I receive my export MPAN my energy bill will drop further.

Will contact John again to extend my system when I save enough to extend my roof.",2023-07-14T23:36:51Z,"(0, 0.990947)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9909443)]"
ChIJoygihrpdeUgRSugGzIQviO4,5,"Very impressed with this company, from design to installation and set up. They went out of their way to make sure, we were happy, and the install was as neat and tidy as possible.",2023-09-08T07:25:02Z,"(0, 0.9833097)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.98330194), (1, 0.016698102)]"
ChIJoygihrpdeUgRSugGzIQviO4,5,"So far so good, will see how i get on. Instalation quick and efficient.. Only diappointment was quoted for 2 x 5.8kwh batteries in writing, quote checked by telephone and accepted only to be told mistake by them and quote was for only one battery, I understand that mistakes are made and apologies were recieved. Apart from that hiccup pleased with installation and efficient workmanship.",2023-10-24T15:13:36Z,"(0, 0.99072856)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.99073136)]"
ChIJr_QsIh3gekgRtx9bWwvDFqU,5,Constantly really good advice and rates. Genuinely down to earth team that cares.,2023-06-05T21:35:23Z,"(0, 0.9598031)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9598025), (1, 0.04019749)]"
ChIJXSydBmGRcUgRXchpU2DWdbM,5,Can’t beat any other company with the life time warranty they provide! Professional fast and amazing customer service! Highly recommended.,2023-03-29T10:38:01Z,"(0, 0.97087806)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9708834), (1, 0.029116599)]"
ChIJXSydBmGRcUgRXchpU2DWdbM,5,"Great product and service.

Life time warranty on solar panels and inverters and 10 year’s warranty on batteries makes this company 100x better value than any other company, even if they are slightly more expensive.

Came and fitted within 2 weeks after a face to face appointment and survey all regulated by an external company so you know exactly what you will produce and get.

Able to see how much money I will be saving plus east finance option which is cheaper than my current utility bill absolute no brainier in the current climate.",2023-03-29T10:48:01Z,"(0, 0.99367946)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9936792)]"
ChIJXSydBmGRcUgRXchpU2DWdbM,5,Great customer service. Highly recommended!,2023-03-29T10:29:05Z,"(0, 0.8997772)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.89974463), (1, 0.10025533)]"
