Topics,Topic Text,distributions,Unique Words,Text
"[(2, 0.99027157)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(2, 0.99027157)]",,"Assalamu alaikum,

Dear volunteers and team at EIC. I just wanted to express my written gratitude to each of you including our dear Imam Muhammad, Shaykh Fahim, Shaykh Muhammad Saleh, Ustadh Nouman and every single volunteer who made this Ramadan a tremendously smooth spiritually uplifting month full of khayr.

May Allah swt allow it to weigh heavy on your scale of good deeds and a means by which we all attain maghfirah and jannatul firdaus through His Mercy.

From the beautiful Quran recitation, to the class from Ustadh Nouman at the end, the delicious iftaars, the organised car parking, the well maintained cleanliness of the bathrooms, the openness to families especially younger children, the crèche facilities upstairs and everything in between. Firstly, we thank Allah (swt) and secondly each of you including those behind the scenes who many may not see but Allah (swt) knows about.

JazakumAllah khayr"
"[(0, 0.013910456), (1, 0.90269125), (2, 0.013901088), (3, 0.013892361), (4, 0.013909896), (5, 0.013894142), (6, 0.013902252), (7, 0.013898608)]","(1, '0.009*""pasta"" + 0.006*""mosque"" + 0.006*""solar"" + 0.006*""time"" + 0.006*""great""')","[(0, 0.013909419), (1, 0.9026946), (2, 0.013901066), (3, 0.013892361), (4, 0.013907606), (5, 0.01389414), (6, 0.013902239), (7, 0.013898605)]",,Probably the only diverse masjid that caters for all...plenty activities and awesome community
"[(5, 0.9416092)]","(5, '0.016*""great"" + 0.010*""helpful"" + 0.009*""friendly"" + 0.009*""staff"" + 0.009*""well""')","[(5, 0.94160813)]",,"The prayers area is larage enough
There are many varietes of community activites for men,women and youth
Clean toilets and wadou areas"
"[(1, 0.97263056)]","(1, '0.009*""pasta"" + 0.006*""mosque"" + 0.006*""solar"" + 0.006*""time"" + 0.006*""great""')","[(1, 0.97263056)]",,Prayed Juma several times. Two juma prayers in about 1 hour apart which is very flexible. The time of the prayer changes and you check that by searching Madina Mosque levenshulme prayer time. The food stall outside the mosque after Juma prayer are real tasty amd very good quality.
"[(0, 0.015633095), (1, 0.015659126), (2, 0.01564101), (3, 0.01563508), (4, 0.015639117), (5, 0.01564107), (6, 0.8905187), (7, 0.015632818)]","(6, '0.013*""service"" + 0.012*""great"" + 0.011*""supplier"" + 0.008*""italian"" + 0.008*""prices""')","[(0, 0.015633097), (1, 0.015663577), (2, 0.015641015), (3, 0.015635082), (4, 0.015639123), (5, 0.015641078), (6, 0.89051425), (7, 0.01563282)]",,"Peaceful atmosphere for prayers and worship.
Locals are welcoming and warm."
"[(4, 0.96632355)]","(4, '0.014*""staff"" + 0.012*""tour"" + 0.012*""really"" + 0.010*""recommend"" + 0.007*""recycling""')","[(4, 0.96632355)]",,"Nicely maintained Masjid being very effectively managed by an efficient and very active Masjid Committee of the worshippers who come, pray and bow before Allah, The Mightiest of all, 5 times a day... May Allah SWT reward all of you for the sacred cause..
Well done all."
"[(0, 0.92035234), (1, 0.011379233), (2, 0.011382954), (3, 0.011369639), (4, 0.011373164), (5, 0.011387032), (6, 0.01138103), (7, 0.011374645)]","(0, '0.017*""energy"" + 0.015*""us"" + 0.011*""business"" + 0.006*""deal"" + 0.006*""food""')","[(0, 0.9203522), (1, 0.011379233), (2, 0.011382954), (3, 0.011369639), (4, 0.011373164), (5, 0.011387117), (6, 0.01138103), (7, 0.011374647)]",,"Use the back door to enter the masjid in the gated parking.

Very warm and clean mosque."
"[(0, 0.9123002), (1, 0.012530315), (2, 0.012535571), (3, 0.012513572), (4, 0.012525619), (5, 0.012522943), (6, 0.012535361), (7, 0.012536371)]","(0, '0.017*""energy"" + 0.015*""us"" + 0.011*""business"" + 0.006*""deal"" + 0.006*""food""')","[(0, 0.9123019), (1, 0.012530313), (2, 0.012535127), (3, 0.012513571), (4, 0.012525617), (5, 0.012522941), (6, 0.012534166), (7, 0.012536368)]",,Descent and humble place for prayer and I know they have good teaching for holy quran
"[(1, 0.93745315)]","(1, '0.009*""pasta"" + 0.006*""mosque"" + 0.006*""solar"" + 0.006*""time"" + 0.006*""great""')","[(1, 0.9374531)]",,"Beautiful and peaceful place of worship. Congregation from all ethnicities,all praying to the One God. May He accept our sincere worship.Ameen."
"[(0, 0.011368181), (1, 0.0113719385), (2, 0.92041415), (3, 0.011368887), (4, 0.011368325), (5, 0.011371429), (6, 0.011367899), (7, 0.011369242)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.011368181), (1, 0.011371946), (2, 0.92041403), (3, 0.011368887), (4, 0.011368325), (5, 0.01137143), (6, 0.011367899), (7, 0.011369242)]",,"Jazakum Allah Khair.

Very clean and spacious prayer space. There is a designated area for sisters too."
"[(5, 0.9326432)]","(5, '0.016*""great"" + 0.010*""helpful"" + 0.009*""friendly"" + 0.009*""staff"" + 0.009*""well""')","[(5, 0.93264335)]",,"I experienced Salah and heard adzan there. The place is clean and organized. For females, the Salah place is separated and safe."
"[(0, 0.0113680465), (1, 0.011373008), (2, 0.011373482), (3, 0.011371394), (4, 0.0113819195), (5, 0.9203786), (6, 0.011369221), (7, 0.011384292)]","(5, '0.016*""great"" + 0.010*""helpful"" + 0.009*""friendly"" + 0.009*""staff"" + 0.009*""well""')","[(0, 0.011368047), (1, 0.011373009), (2, 0.011373483), (3, 0.011371395), (4, 0.011381983), (5, 0.9203788), (6, 0.011369222), (7, 0.011384091)]",,"The guys are friendly and helpful, the facility is well laid out and the process of trash disposal is very efficient. ⭐️⭐️⭐️⭐️⭐️"
"[(0, 0.017860612), (1, 0.017862288), (2, 0.87490845), (3, 0.017869271), (4, 0.01787202), (5, 0.017879946), (6, 0.017862102), (7, 0.017885301)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.017860612), (1, 0.017862288), (2, 0.8749068), (3, 0.017869273), (4, 0.017872022), (5, 0.017879833), (6, 0.017862104), (7, 0.017887034)]",,"Very well organised, safe and friendly recycling bank"
"[(0, 0.012505594), (1, 0.012505234), (2, 0.0125257345), (3, 0.012504797), (4, 0.012515339), (5, 0.91241956), (6, 0.012510156), (7, 0.012513625)]","(5, '0.016*""great"" + 0.010*""helpful"" + 0.009*""friendly"" + 0.009*""staff"" + 0.009*""well""')","[(0, 0.012505592), (1, 0.012505233), (2, 0.012521759), (3, 0.0125047965), (4, 0.012515335), (5, 0.91242355), (6, 0.012510153), (7, 0.012513621)]",,"All of the staff were friendly and very helpful, which is great when you are unsure where to put your recycling. Well done."
"[(4, 0.94160515)]","(4, '0.014*""staff"" + 0.012*""tour"" + 0.012*""really"" + 0.010*""recommend"" + 0.007*""recycling""')","[(4, 0.94160545)]",,"Good site, clean and tidy, never much in the way of queues, staff are helpful and their opening hours are good also"
"[(5, 0.9726421)]","(5, '0.016*""great"" + 0.010*""helpful"" + 0.009*""friendly"" + 0.009*""staff"" + 0.009*""well""')","[(5, 0.9726422)]",,"This recycling centre/tip is well laid out into sections and if you're familiar with what goes where and load your vehicle accordingly, you can be in and out in next to no time. There's always someone on hand to help you out if you're not sure what goes where, and they have a signed area on display that says how well the area has done on recycling the previous month."
"[(2, 0.6076419), (3, 0.3345967)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(2, 0.60764945), (3, 0.33458912)]",,Nice and clean recycling centre friendly staff easy to find great locations just near the cemetery.
"[(0, 0.17702363), (2, 0.56653166), (7, 0.21471196)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.17696272), (2, 0.56689703), (7, 0.21440741)]",,Great place to get rid of unwanted household rubbish everything is clean tidy and sorted into relevant recycling places
"[(2, 0.9416239)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(2, 0.94162387)]",,Safe an well organised the staff on site are also really helpful whilst also getting people to recycle correctly
"[(0, 0.017863538), (1, 0.01786223), (2, 0.87489647), (3, 0.017863175), (4, 0.01787945), (5, 0.017884806), (6, 0.017870054), (7, 0.01788026)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.017863538), (1, 0.01786223), (2, 0.8748966), (3, 0.017863175), (4, 0.017879495), (5, 0.017884662), (6, 0.017870054), (7, 0.017880257)]",,"Great recycling centre, very clean and with helpful staff"
"[(0, 0.0113677075), (1, 0.011371665), (2, 0.92037064), (3, 0.011369425), (4, 0.011379559), (5, 0.0113799255), (6, 0.011372106), (7, 0.011388961)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.0113677075), (1, 0.011371665), (2, 0.9203719), (3, 0.011369424), (4, 0.011379557), (5, 0.011379924), (6, 0.011372106), (7, 0.011387778)]",,Always clean and well organised friendly staff this is a good place to recycle your waste.
"[(0, 0.013896581), (1, 0.013896978), (2, 0.013919614), (3, 0.013896134), (4, 0.9026614), (5, 0.013914548), (6, 0.013901683), (7, 0.013913005)]","(4, '0.014*""staff"" + 0.012*""tour"" + 0.012*""really"" + 0.010*""recommend"" + 0.007*""recycling""')","[(0, 0.013896583), (1, 0.013896982), (2, 0.013921708), (3, 0.013896136), (4, 0.90265936), (5, 0.013914525), (6, 0.013901685), (7, 0.013913011)]",,"Well organised, clean and tidy and no queues if you pick the right time!"
"[(0, 0.017862946), (1, 0.017862312), (2, 0.017894365), (3, 0.017864626), (4, 0.01787998), (5, 0.874894), (6, 0.017865896), (7, 0.01787589)]","(5, '0.016*""great"" + 0.010*""helpful"" + 0.009*""friendly"" + 0.009*""staff"" + 0.009*""well""')","[(0, 0.017862946), (1, 0.01786231), (2, 0.017892513), (3, 0.017864624), (4, 0.017879976), (5, 0.8748958), (6, 0.017865896), (7, 0.017875887)]",,A well organized recycling center with helpful staff.
"[(4, 0.93742543)]","(4, '0.014*""staff"" + 0.012*""tour"" + 0.012*""really"" + 0.010*""recommend"" + 0.007*""recycling""')","[(4, 0.9374273)]",,"An outstanding recycling centre - plenty of space, great staff, never ridiculously busy if you choose your time wisely."
"[(1, 0.15955766), (2, 0.25048316), (7, 0.5452513)]","(7, '0.020*""great"" + 0.013*""helpful"" + 0.011*""good"" + 0.009*""really"" + 0.008*""waste""')","[(1, 0.1595669), (2, 0.25057158), (7, 0.54515404)]",,"Almost always quick and easy to recycle waste here, disposal facilities for all types of waste including clothes and shoes."
